
 Lista de Imóveis da Caixa;;Data de geração:;22/06/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444409363813 ;PB ;ALHANDRA ;LT 25 QD 18 ;RUA PROJETADA, N. SN, CASA A ;37.036,72;110.000,00;66.34;Não;Casa, 77.60 de área total, 43.86 de área privativa, 100.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409363813
 8555508844013 ;PB ;ALHANDRA ;Mata Redonda ;VIA LOCAL 04, N. SN, Apto ., LT 11,12,13,14-A, QD D ;41.942,75;110.000,00;61.88;Não;Casa, 0.00 de área total, 59.52 de área privativa, 114.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555508844013
 8444420618601 ;PB ;ALHANDRA ;LOT ASA BRANCA ; RUA VIA DE ACESSO 01, N. SN, LT 16, QD A ;67.774,95;130.000,00;47.87;Não;Casa, 65.47 de área total, 65.47 de área privativa, 129.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420618601
 8444404485198 ;PB ;ALHANDRA ;LOT PORTAL DAS PRAIA ; RUA LOCAL 05, N. S/N, QD-B, LT 27 ;72.988,41;126.000,00;42.08;Não;Casa, 59.95 de área total, 59.95 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404485198
 8555505446017 ;PB ;ALHANDRA ;Mata Redonda ;RUA PROJETADA, N. SN, QD B, LT 07 ;81.964,82;140.000,00;41.46;Não;Casa, 81.20 de área total, 81.20 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555505446017
 8444409139735 ;PB ;BAYEUX ;CENTRO ;RUA PROJETADA, N. 171, CS 03, QD D, LT 02 ;14.651,77;94.000,00;84.42;Não;Casa, 0.00 de área total, 62.66 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409139735
 8444426982224 ;PB ;BAYEUX ;MARIO ANDREAZZA ;RUA SAO JOAO BATISTA, N. 95, CASA 05 ;44.049,35;124.000,00;64.48;Não;Casa, 0.00 de área total, 47.75 de área privativa, 800.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426982224
 8444412678064 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 129, CASA 01 ;54.574,34;144.000,00;62.11;Não;Casa, 0.00 de área total, 71.91 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412678064
 8444415707790 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 137, QD 12, LT A7, CS 01 ;55.261,41;145.812,92;62.11;Não;Casa, 0.00 de área total, 71.91 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415707790
 8444408572729 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA PROJETADA, N. 143, CS 4 QD D  LT 03 ;37.108,02;96.000,00;61.35;Não;Casa, 0.00 de área total, 46.57 de área privativa, 103.31 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408572729
 8555521559602 ;PB ;BAYEUX ;MARIO ANDREAZZA ; RUA PROJETADA B, N. 301, CS 22 ;45.755,73;105.000,00;56.43;Não;Casa, 0.00 de área total, 57.12 de área privativa, 178.18 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521559602
 8444406041548 ;PB ;BAYEUX ;LOT RES PANORAMICO ; RUA PROJETADA VL-05, N. 250, CS 01 COND RES PANORAMICO ;38.654,20;87.500,00;55.83;Não;Casa, 0.00 de área total, 45.72 de área privativa, 67.66 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406041548
 8444404308709 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JOSE PAULINO FILHO, N. 270, CS 03 RUA PROJETADA 19 ;42.404,76;95.990,00;55.83;Não;Casa, 0.00 de área total, 46.58 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404308709
 8555512688624 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA DA NATIVIDADE, N. 40, CS 03 ;41.614,00;94.200,00;55.83;Não;Casa, 0.00 de área total, 44.00 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512688624
 8444406161489 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA VEREADOR DORGIVAL DANTAS, N. 285, CS 01 COND RES VILLA CLARA ;44.791,69;97.000,00;53.83;Não;Casa, 0.00 de área total, 51.81 de área privativa, 117.42 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406161489
 8444405847913 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA VEREADOR DORGIVAL DANTAS, N. 255, CS 01 ;51.856,49;112.000,00;53.70;Não;Casa, 0.00 de área total, 46.57 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405847913
 8444424649340 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 117, CS 05 ;50.004,48;108.000,00;53.70;Não;Casa, 0.00 de área total, 52.62 de área privativa, 134.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424649340
 8444408858584 ;PB ;BAYEUX ;AREA RURAL DE BAYUEX ; RUA PROJETADA, N. 171, CS 02, LT. COLINA VERDE ;49.541,47;107.000,00;53.70;Não;Casa, 0.00 de área total, 45.66 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408858584
 8444406149314 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NOVE DE NOVEMBRO, N. 72, CS B ;56.209,38;121.000,00;53.55;Não;Casa, 0.00 de área total, 60.00 de área privativa, 106.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406149314
 8444416990933 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NATIVIDADE, N. 37, CS 02 QD16 LT E ;56.673,92;122.000,00;53.55;Não;Casa, 0.00 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416990933
 8444417481803 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NATIVIDADE, N. 37, QD 16 LT E ;53.004,06;114.100,00;53.55;Não;Casa, 0.00 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417481803
 8444404257977 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA GOVERNADOR ANTONIO MARIZ, N. 266, CS 03 ;61.527,34;131.000,00;53.04;Não;Casa, 0.00 de área total, 49.88 de área privativa, 200.67 de área do terreno,  2 qto(s), WC, 1 sala(s), Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404257977
 8444414425538 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JOAQUIM RODRIGUES DE SOUZA, N. 257, CS B, QD K, LT 10-A ;59.178,97;126.000,00;53.04;Não;Casa, 0.00 de área total, 60.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414425538
 8555509510569 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA SAO JOAO BATISTA, N. 47, CS 03-C ;64.345,39;137.000,00;53.04;Não;Casa, 0.00 de área total, 53.67 de área privativa, 143.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555509510569
 8444406183644 ;PB ;BAYEUX ;LOT SONHO VERDE ; RUA 09 DE NOVEMBRO, N. 72, CS C, CON RES GONCALVES V ;50.045,33;105.000,00;52.34;Não;Casa, 0.00 de área total, 60.00 de área privativa, 106.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406183644
 8444401330487 ;PB ;BAYEUX ;CENTRO ;RUA MANOEL PAULINO GOMES, N. 251,  . ;39.278,61;81.000,00;51.51;Não;Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401330487
 8444402400870 ;PB ;BAYEUX ;CENTRO ; RUA PROJETADA 02, N. 180, CASA 04 ;38.308,76;79.000,00;51.51;Não;Casa, 0.00 de área total, 46.57 de área privativa, 105.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402400870
 8444415649871 ;PB ;BAYEUX ;CENTRO ;RUA NATIVIDADE, N. 37, CS LT E QD 16 ;56.470,70;115.897,22;51.28;Não;Casa, 72.51 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415649871
 8444416214429 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARECHAL CASTELO BRANCO, N. 320, CS LT 15 QD 05 ;54.299,76;108.600,00;50.01;Não;Casa, 77.53 de área total, 46.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416214429
 8444407561065 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA PROJETADA 03, N. 41, CS 04 ;64.371,72;127.000,00;49.32;Não;Casa, 46.57 de área total, 46.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407561065
